subject,run_number,Trialid,condition,choice_number,self_value,other_value,choice,self,other,choice_RT
1202,2,34,4,3,18,10,1,18,10,770
1202,2,34,4,4,11,6,2,10,10,1064
1202,2,35,2,1,2,2,2,10,10,711
1202,2,35,2,2,17,3,2,10,10,1043
1202,2,35,2,3,12,22,1,12,22,1081
1202,2,35,2,4,7,13,2,10,10,1167
1202,2,36,3,1,30,15,1,30,15,905
1202,2,36,3,2,8,16,2,10,10,1007
1202,2,36,3,3,11,6,2,10,10,985
1202,2,36,3,4,30,25,1,30,25,776
1202,3,1,1,1,4,28,2,10,10,935
1202,3,1,1,2,12,3,2,10,10,1451
1202,3,1,1,3,18,10,1,18,10,1260
1202,3,1,1,4,15,30,1,15,30,930
1202,3,2,4,1,30,15,1,30,15,779
1202,3,2,4,2,1,13,2,10,10,696
1202,3,2,4,3,31,3,2,10,10,1134
1202,3,2,4,4,10,18,1,10,18,1219
1202,3,4,2,1,30,10,1,30,10,1137
1202,3,4,2,2,10,22,1,10,22,1201
1202,3,4,2,3,4,28,2,10,10,972
1202,3,4,2,4,12,3,2,10,10,959
1202,3,5,3,1,17,3,2,10,10,849
1202,3,5,3,2,8,16,2,10,10,858
1202,3,5,3,3,10,18,1,10,18,927
1202,3,5,3,4,18,10,1,18,10,986
1202,3,7,4,1,11,8,2,10,10,891
1202,3,7,4,2,2,18,2,10,10,846
1202,3,7,4,3,30,10,1,30,10,753
1202,3,7,4,4,15,30,1,15,30,981
1202,3,8,1,1,10,22,1,10,22,987
1202,3,8,1,2,8,16,2,10,10,1034
1202,3,8,1,3,30,10,1,30,10,781
1202,3,8,1,4,12,8,2,10,10,927
1202,3,9,2,1,18,10,1,18,10,944
1202,3,9,2,2,10,18,1,10,18,1323
1202,3,9,2,3,2,18,2,10,10,964
1202,3,9,2,4,17,3,2,10,10,903
1202,3,10,3,1,10,22,2,10,10,728
1202,3,10,3,2,11,8,2,10,10,983
1202,3,10,3,3,18,12,1,18,12,892
1202,3,10,3,4,7,13,2,10,10,856
1202,3,13,3,1,10,30,1,10,30,1474
1202,3,13,3,2,12,8,2,10,10,1005
1202,3,13,3,3,22,12,1,22,12,939
1202,3,13,3,4,4,28,2,10,10,990
1202,3,14,1,1,11,8,2,10,10,726
1202,3,14,1,2,7,13,2,10,10,729
1202,3,14,1,3,22,10,1,22,10,953
1202,3,14,1,4,10,30,1,10,30,1348
1202,3,16,2,1,11,8,2,10,10,1133
1202,3,16,2,2,22,12,1,22,12,1051
1202,3,16,2,3,8,16,2,10,10,979
1202,3,16,2,4,10,30,1,10,30,1126
1202,3,17,4,1,18,10,1,18,10,854
1202,3,17,4,2,12,18,1,12,18,717
1202,3,17,4,3,17,3,1,17,3,651
1202,3,17,4,4,4,28,2,10,10,1142
1202,3,18,1,1,12,18,1,12,18,860
1202,3,18,1,2,2,18,2,10,10,963
1202,3,18,1,3,18,12,1,18,12,979
1202,3,18,1,4,16,8,2,10,10,997
1202,3,19,3,1,31,3,2,10,10,1037
1202,3,19,3,2,7,11,2,10,10,880
1202,3,19,3,3,30,15,1,30,15,992
1202,3,19,3,4,15,30,1,15,30,1005
1202,3,20,2,1,12,18,1,12,18,1648
1202,3,20,2,2,16,8,2,10,10,1268
1202,3,20,2,3,30,15,1,30,15,1105
1202,3,20,2,4,1,13,2,10,10,835
1202,3,23,4,1,12,3,2,10,10,824
1202,3,23,4,2,18,12,1,18,12,826
1202,3,23,4,3,10,30,1,10,30,1329
1202,3,23,4,4,7,13,2,10,10,1048
1202,3,24,2,1,22,10,1,22,10,814
1202,3,24,2,2,12,22,1,12,22,1034
1202,3,24,2,3,7,11,2,10,10,864
1202,3,24,2,4,12,8,2,10,10,1254
1202,3,25,1,1,7,11,2,10,10,847
1202,3,25,1,2,12,22,1,12,22,1136
1202,3,25,1,3,17,3,2,10,10,1629
1202,3,25,1,4,30,15,1,30,15,1566
1202,3,26,3,1,30,10,1,30,10,920
1202,3,26,3,2,12,3,2,10,10,794
1202,3,26,3,3,2,18,2,10,10,804
1202,3,26,3,4,12,18,1,12,18,776
1202,3,27,4,1,8,16,2,10,10,1029
1202,3,27,4,2,12,8,1,12,8,1393
1202,3,27,4,3,22,12,1,22,12,1108
1202,3,27,4,4,12,22,1,12,22,1330
1202,3,30,2,1,15,30,1,15,30,704
1202,3,30,2,2,31,3,2,10,10,1276
1202,3,30,2,3,18,12,1,18,12,1000
1202,3,30,2,4,7,13,2,10,10,782
1202,3,31,3,1,12,22,1,12,22,1154
1202,3,31,3,2,16,8,2,10,10,1285
1202,3,31,3,3,22,10,1,22,10,1008
1202,3,31,3,4,1,13,2,10,10,1503
1202,3,33,4,1,10,22,2,10,10,1251
1202,3,33,4,2,7,11,2,10,10,1218
1202,3,33,4,3,22,10,1,22,10,1317
1202,3,33,4,4,16,8,2,10,10,1297
1202,3,35,1,1,1,13,2,10,10,748
1202,3,35,1,2,22,12,1,22,12,1352
1202,3,35,1,3,31,3,2,10,10,1166
1202,3,35,1,4,10,18,1,10,18,1281
1203,1,2,3,1,12,3,1,12,3,2587
1203,1,2,3,2,30,25,1,30,25,2000
1203,1,2,3,3,6,22,2,10,10,1640
1203,1,2,3,4,30,10,1,30,10,1666
1203,1,3,2,1,11,6,1,11,6,2282
1203,1,3,2,2,20,30,1,20,30,1981
1203,1,3,2,3,4,16,2,10,10,2074
1203,1,3,2,4,10,26,1,10,26,1937
